Strategy,OOS R2 (x100),Ann. Return,Ann. Std Dev,Sharpe Ratio,Alpha (ann.),Alpha t-stat,Beta,Information Ratio,Max Drawdown,Max 1-Month Loss,Turnover
Active L/S (NN2),-0.22905394806447266,0.024371227896467305,0.1070475505444699,0.22766731020475767,0.037625493103246324,1.1978149541191982,-0.12419181688365198,0.35573355021185565,0.2628439178158395,-0.09571825935600002,0.5132934131736527
SPY (Passive),,0.11520271428571428,0.1481854699127907,0.7774224716735909,0.0,0.0,1.0,0.0,0.28461545708455915,-0.125119,0.0
